seq_id,datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
22708,09JAN15:22:45:00,AHU_5_1,0,1.9623,70.6859,0,650.5096,67.4815,71.604,0
22709,09JAN15:23:00:00,AHU_5_1,0,2.0057,70.8659,0,650.5096,67.7516,71.604,0
22710,09JAN15:23:15:00,AHU_5_1,0,1.9623,71.1539,0,660.2753,67.9496,71.604,0
22711,09JAN15:23:30:00,AHU_5_1,0,1.9623,71.2439,0,651.12,68.2196,71.604,0
22712,09JAN15:23:45:00,AHU_5_1,0,2.0057,71.5139,0,639.5233,68.4896,71.694,0
22713,10JAN15:00:00:00,AHU_5_1,0,2.1359,71.694,0,641.9647,68.7597,71.784,0
22714,10JAN15:00:15:00,AHU_5_1,0,2.0491,71.784,0,638.913,69.1377,71.784,0
22715,10JAN15:00:30:00,AHU_5_1,0,1.9623,71.964,0,637.0819,69.3177,71.874,0
22716,10JAN15:00:45:00,AHU_5_1,0,2.0491,72.162,0,637.6923,69.6778,71.874,0
22717,10JAN15:01:00:00,AHU_5_1,0,1.9623,72.342,0,637.0819,69.9478,71.784,0
22718,10JAN15:01:15:00,AHU_5_1,0,2.0057,72.432,0,631.589,70.2358,71.784,0
22719,10JAN15:01:30:00,AHU_5_1,0,2.0491,72.6121,0,636.4716,70.5058,71.874,0
22720,10JAN15:01:45:00,AHU_5_1,0,2.0925,72.7021,0,629.1476,70.6859,71.784,0
22721,10JAN15:02:00:00,AHU_5_1,0,1.9623,72.8821,0,636.4716,70.9559,71.874,0
22722,10JAN15:02:15:00,AHU_5_1,0,2.0057,73.0801,0,637.0819,71.1539,71.874,0
22723,10JAN15:02:30:00,AHU_5_1,0,1.9623,73.0801,0,629.7579,71.4239,71.784,0
22724,10JAN15:02:45:00,AHU_5_1,0,1.9623,73.1701,0,626.0958,71.604,71.784,0
22725,10JAN15:03:00:00,AHU_5_1,0,1.9623,73.3501,0,624.2648,71.874,71.874,0
22726,10JAN15:03:15:00,AHU_5_1,0,2.0057,73.3501,0,618.7716,72.072,71.874,0
22727,10JAN15:03:30:00,AHU_5_1,0,1.9623,73.4402,0,634.6405,72.252,71.874,0
22728,10JAN15:03:45:00,AHU_5_1,0,1.9623,73.5302,0,619.382,72.432,71.874,0
22729,10JAN15:04:00:00,AHU_5_1,0,1.9188,73.6202,0,623.6544,72.6121,71.784,0
22730,10JAN15:04:15:00,AHU_5_1,0,1.9623,73.7102,0,620.6027,72.8821,71.784,0
22731,10JAN15:04:30:00,AHU_5_1,0,2.0491,73.8002,0,609.6163,73.0801,71.784,0
22732,10JAN15:04:45:00,AHU_5_1,0,1.9623,73.8002,0,623.6544,73.2601,71.784,0
22733,10JAN15:05:00:00,AHU_5_1,0,2.0925,73.8902,0,613.2784,73.3501,71.784,0
22734,10JAN15:05:15:00,AHU_5_1,0,1.9623,73.8902,0,609.6163,73.6202,71.874,0
22735,10JAN15:05:30:00,AHU_5_1,0,2.0057,73.9982,0,621.213,73.8002,71.874,0
22736,10JAN15:05:45:00,AHU_5_1,0,1.9623,73.9982,0,613.8888,73.8902,71.874,0
22737,10JAN15:06:00:00,AHU_5_1,0,1.9623,74.0882,0,610.837,74.1782,71.874,0
22738,10JAN15:06:15:00,AHU_5_1,0,2.0057,74.0882,0,612.6681,74.2682,71.874,0
22739,10JAN15:06:30:00,AHU_5_1,0,2.0057,74.0882,0,612.6681,74.3582,71.874,0
22740,10JAN15:06:45:00,AHU_5_1,0,2.0057,74.1782,0,607.7853,74.5383,71.874,0
22741,10JAN15:07:00:00,AHU_5_1,0,1.9623,74.1782,0,601.0714,74.6283,71.694,0
22742,10JAN15:07:15:00,AHU_5_1,46.725,99.6516,57.0045,0.6825,600.4611,74.8983,71.0639,14.71
22743,10JAN15:07:30:00,AHU_5_1,29.54,29.0982,60.2808,0.7547,591.9161,74.3582,71.784,16.17
22744,10JAN15:07:45:00,AHU_5_1,50.415,45.2929,60.3708,0.7668,565.6711,74.7183,72.252,16.17
22745,10JAN15:08:00:00,AHU_5_1,30.475,41.038,58.9127,0.7708,547.3606,75.0063,72.8821,16.17
22746,10JAN15:08:15:00,AHU_5_1,49.35,35.3937,61.739,0.7748,574.8264,75.3663,73.1701,16.17
22747,10JAN15:08:30:00,AHU_5_1,0,1.9188,62.189,0,604.7335,68.9577,72.7921,0
22748,10JAN15:08:45:00,AHU_5_1,0,2.0057,63.5572,0,605.3439,67.0315,72.7021,0
22749,10JAN15:09:00:00,AHU_5_1,0,2.0491,64.9253,0,601.0714,66.6715,72.6121,0
22750,10JAN15:09:15:00,AHU_5_1,0,1.9623,66.0234,0,602.9025,66.4734,72.6121,0
22751,10JAN15:09:30:00,AHU_5_1,0,1.9188,66.8515,0,583.9817,66.3834,72.5221,0
22752,10JAN15:09:45:00,AHU_5_1,0,2.0057,67.6616,0,589.4747,66.5635,72.432,0
22753,10JAN15:10:00:00,AHU_5_1,0,1.9623,68.2196,0,595.5783,66.5635,72.342,0
22754,10JAN15:10:15:00,AHU_5_1,0,2.0057,68.8497,0,580.9299,66.7615,72.432,0
22755,10JAN15:10:30:00,AHU_5_1,0,2.0491,69.4077,0,577.8782,66.9415,72.342,0
22756,10JAN15:10:45:00,AHU_5_1,0,1.9623,69.9478,0,574.2161,67.2115,72.342,0
22757,10JAN15:11:00:00,AHU_5_1,0,2.0057,70.3258,0,565.0608,67.3015,72.342,0
22758,10JAN15:11:15:00,AHU_5_1,0,2.0491,70.6859,0,563.2297,67.5716,72.342,0
22759,10JAN15:11:30:00,AHU_5_1,0,1.9623,71.0639,0,560.7883,67.8596,72.342,0
22760,10JAN15:11:45:00,AHU_5_1,0,2.0057,71.4239,0,563.8401,68.0396,72.432,0
22761,10JAN15:12:00:00,AHU_5_1,0,1.9623,71.694,0,571.1643,68.3096,72.432,0
22762,10JAN15:12:15:00,AHU_5_1,0,2.0057,71.964,0,559.5676,68.5797,72.432,0
22763,10JAN15:12:30:00,AHU_5_1,0,1.9623,72.162,0,554.0745,68.8497,72.432,0
22764,10JAN15:12:45:00,AHU_5_1,0,2.0057,72.432,0,576.6575,69.1377,72.5221,0
22765,10JAN15:13:00:00,AHU_5_1,0,1.9623,72.6121,0,552.2434,69.3177,72.432,0
22766,10JAN15:13:15:00,AHU_5_1,0,2.0925,72.7921,0,555.9055,69.5878,72.6121,0
22767,10JAN15:13:30:00,AHU_5_1,0,1.9623,72.9721,0,543.0881,69.8578,72.5221,0
22768,10JAN15:13:45:00,AHU_5_1,0,1.9623,73.1701,0,561.3987,70.2358,72.6121,0
22769,10JAN15:14:00:00,AHU_5_1,0,2.0491,73.2601,0,555.9055,70.5058,72.6121,0
22770,10JAN15:14:15:00,AHU_5_1,0,2.0057,73.5302,0,560.7883,70.7759,72.7021,0
22771,10JAN15:14:30:00,AHU_5_1,0,2.0057,73.6202,0,550.4123,70.9559,72.7021,0
22772,10JAN15:14:45:00,AHU_5_1,0,1.9623,73.8002,0,571.7747,71.3339,72.7921,0
22773,10JAN15:15:00:00,AHU_5_1,0,2.0057,73.8902,0,562.6194,71.5139,72.8821,0
