datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
19FEB15:13:03:00,AHU_5_1,29.89,45.7271,62.8371,0.7949,789.0592,73.9982,73.7102,19.25
19FEB15:13:18:00,AHU_5_1,33.53,29.8797,60.4609,0.7949,839.1079,73.8902,73.8002,19.25
19FEB15:13:33:00,AHU_5_1,45.27,35.8279,62.459,0.7828,950.1916,73.5302,73.7102,19.25
19FEB15:13:48:00,AHU_5_1,30.275,45.2061,62.5491,0.7949,985.5919,73.7102,73.8002,19.25
19FEB15:14:03:00,AHU_5_1,35.26,30.3573,60.5509,0.7909,1035.641,73.8002,73.7102,19.25
19FEB15:14:18:00,AHU_5_1,44.97,40.2565,62.9271,0.7868,964.2296,73.6202,73.7102,19.25
19FEB15:14:33:00,AHU_5_1,30.79,45.5969,62.6571,0.7868,851.9253,73.6202,73.6202,19.25
19FEB15:14:48:00,AHU_5_1,36.88,31.573,60.5509,0.7868,835.4458,73.6202,73.8002,19.25
19FEB15:15:03:00,AHU_5_1,44.945,36.4358,62.6571,0.7828,836.6665,73.1701,73.7102,19.25
19FEB15:15:18:00,AHU_5_1,28.425,42.4708,62.5491,0.7949,838.4976,71.784,73.5302,19.25
19FEB15:15:33:00,AHU_5_1,41.58,31.052,60.8209,0.7909,849.4839,73.4402,73.3501,19.25
19FEB15:15:48:00,AHU_5_1,38.575,43.7733,63.5572,0.7909,903.1946,73.2601,73.2601,19.25
19FEB15:16:03:00,AHU_5_1,27.35,39.1277,61.3789,0.8029,970.3331,73.3501,73.2601,19.25
19FEB15:16:18:00,AHU_5_1,41.27,29.185,60.5509,0.8029,1326.778,73.3501,73.2601,19.25
19FEB15:16:33:00,AHU_5_1,43.29,38.8671,63.1971,0.7628,1089.351,73.0801,73.2601,20.315
19FEB15:16:48:00,AHU_5_1,28.455,40.6472,61.559,0.839,991.6954,72.6121,73.1701,19.775
19FEB15:17:03:00,AHU_5_1,42.63,31.052,61.0009,0.8029,935.5432,72.9721,73.1701,19.775
19FEB15:17:18:00,AHU_5_1,36.865,44.2509,63.5572,0.835,803.0973,73.3501,73.0801,19.775
19FEB15:17:33:00,AHU_5_1,29.77,34.9162,60.8209,0.843,860.4702,73.0801,72.9721,19.57
19FEB15:17:48:00,AHU_5_1,43.82,29.0982,61.4689,0.839,820.7974,73.1701,72.9721,19.57
19FEB15:18:03:00,AHU_5_1,35.435,44.9456,63.5572,0.843,767.697,73.1701,72.9721,19.57
